Date : 2025-10-09 16:39:15
Directory : /home/kun/projects/Knot
Total : 195 files,  53059 codes, 7721 comments, 10474 blanks, all 71254 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |         96 |     38,137 |      7,531 |      7,085 |     52,753 |
| Markdown     |         32 |     10,213 |          0 |      2,867 |     13,080 |
| YAML         |         30 |      2,815 |         17 |        185 |      3,017 |
| CMake        |          9 |        596 |          0 |        124 |        720 |
| JSON         |         14 |        459 |          0 |          8 |        467 |
| Shell Script |          5 |        449 |         92 |        111 |        652 |
| MS SQL       |          3 |        252 |         79 |         76 |        407 |
| HTML         |          1 |         55 |          0 |          4 |         59 |
| XML          |          3 |         53 |          0 |          1 |         54 |
| PostCSS      |          1 |         21 |          0 |          6 |         27 |
| Python       |          1 |          9 |          2 |          7 |         18 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        195 |     53,059 |      7,721 |     10,474 |     71,254 |
| . (Files)                                                                                                                  |          2 |      1,156 |          0 |        271 |      1,427 |
| .augment                                                                                                                   |          1 |         87 |          0 |         28 |        115 |
| .augment/rules                                                                                                             |          1 |         87 |          0 |         28 |        115 |
| .claude                                                                                                                    |          1 |         21 |          0 |          1 |         22 |
| backend-service                                                                                                            |        183 |     51,643 |      7,721 |     10,144 |     69,508 |
| backend-service (Files)                                                                                                    |          3 |        680 |         14 |        147 |        841 |
| backend-service/.augment                                                                                                   |          1 |         85 |          0 |         27 |        112 |
| backend-service/.augment/rules                                                                                             |          1 |         85 |          0 |         27 |        112 |
| backend-service/config                                                                                                     |          5 |        364 |         79 |         80 |        523 |
| backend-service/deploy-static                                                                                              |          4 |        882 |         55 |        261 |      1,198 |
| backend-service/deploy-static (Files)                                                                                      |          3 |        727 |         55 |        194 |        976 |
| backend-service/deploy-static/build                                                                                        |          1 |        155 |          0 |         67 |        222 |
| backend-service/deploy-static/build/knot-deploy-20251009-111050                                                            |          1 |        155 |          0 |         67 |        222 |
| backend-service/deploy-static/build/knot-deploy-20251009-111050/docs                                                       |          1 |        155 |          0 |         67 |        222 |
| backend-service/deploy-static/build/knot-deploy-20251009-111050/docs/api                                                   |          1 |        155 |          0 |         67 |        222 |
| backend-service/docs                                                                                                       |          8 |      2,303 |         19 |        292 |      2,614 |
| backend-service/docs (Files)                                                                                               |          3 |        536 |         11 |        170 |        717 |
| backend-service/docs/api                                                                                                   |          5 |      1,767 |          8 |        122 |      1,897 |
| backend-service/project_document                                                                                           |         13 |      6,844 |          0 |      1,856 |      8,700 |
| backend-service/src                                                                                                        |         46 |      5,025 |      2,328 |      1,543 |      8,896 |
| backend-service/src (Files)                                                                                                |          1 |         94 |         36 |         28 |        158 |
| backend-service/src/api                                                                                                    |          8 |      1,076 |        513 |        324 |      1,913 |
| backend-service/src/database                                                                                               |         14 |      2,146 |        880 |        676 |      3,702 |
| backend-service/src/models                                                                                                 |          8 |        642 |        288 |        189 |      1,119 |
| backend-service/src/security                                                                                               |          4 |        256 |        172 |         84 |        512 |
| backend-service/src/server                                                                                                 |          2 |        199 |         85 |         71 |        355 |
| backend-service/src/utils                                                                                                  |          9 |        612 |        354 |        171 |      1,137 |
