Date : 2025-10-17 18:56:21
Directory : /home/kun/projects/SharePix
Total : 195 files,  72749 codes, 12189 comments, 16043 blanks, all 100981 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        116 |     43,991 |     11,894 |      8,829 |     64,714 |
| Markdown     |         48 |     24,620 |          2 |      6,731 |     31,353 |
| YAML         |          2 |      2,300 |          7 |         77 |      2,384 |
| Shell Script |          8 |        764 |        134 |        188 |      1,086 |
| MS SQL       |          6 |        481 |        150 |        134 |        765 |
| CMake        |          3 |        308 |          0 |         65 |        373 |
| JSON         |         10 |        221 |          0 |          8 |        229 |
| HTML         |          1 |         55 |          0 |          4 |         59 |
| Python       |          1 |          9 |          2 |          7 |         18 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        195 |     72,749 |     12,189 |     16,043 |    100,981 |
| . (Files)                                                                                                      |          2 |      1,438 |          0 |        345 |      1,783 |
| .augment                                                                                                       |          1 |         87 |          0 |         28 |        115 |
| .augment/rules                                                                                                 |          1 |         87 |          0 |         28 |        115 |
| .claude                                                                                                        |          1 |         40 |          0 |          1 |         41 |
| backend-service                                                                                                |        183 |     71,032 |     12,189 |     15,639 |     98,860 |
| backend-service (Files)                                                                                        |          6 |      1,195 |         48 |        287 |      1,530 |
| backend-service/.augment                                                                                       |          1 |         85 |          0 |         27 |        112 |
| backend-service/.augment/rules                                                                                 |          1 |         85 |          0 |         27 |        112 |
| backend-service/config                                                                                         |          8 |        595 |        150 |        138 |        883 |
| backend-service/deploy-static                                                                                  |          4 |        882 |         55 |        261 |      1,198 |
| backend-service/deploy-static (Files)                                                                          |          3 |        727 |         55 |        194 |        976 |
| backend-service/deploy-static/build                                                                            |          1 |        155 |          0 |         67 |        222 |
| backend-service/deploy-static/build/knot-deploy-20251017-165249                                                |          1 |        155 |          0 |         67 |        222 |
| backend-service/deploy-static/build/knot-deploy-20251017-165249/docs                                           |          1 |        155 |          0 |         67 |        222 |
| backend-service/deploy-static/build/knot-deploy-20251017-165249/docs/api                                       |          1 |        155 |          0 |         67 |        222 |
| backend-service/docs                                                                                           |          8 |      3,062 |         23 |        325 |      3,410 |
| backend-service/docs (Files)                                                                                   |          3 |        536 |         11 |        170 |        717 |
| backend-service/docs/api                                                                                       |          5 |      2,526 |         12 |        155 |      2,693 |
| backend-service/include                                                                                        |         25 |      7,478 |      4,025 |      1,100 |     12,603 |
| backend-service/include (Files)                                                                                |          2 |      2,557 |      1,727 |        330 |      4,614 |
| backend-service/include/jwt-cpp                                                                                |         12 |      3,199 |      1,996 |        506 |      5,701 |
| backend-service/include/jwt-cpp (Files)                                                                        |          2 |      2,557 |      1,727 |        330 |      4,614 |
| backend-service/include/jwt-cpp/traits                                                                         |         10 |        642 |        269 |        176 |      1,087 |
| backend-service/include/jwt-cpp/traits/boost-json                                                              |          2 |         96 |         53 |         28 |        177 |
| backend-service/include/jwt-cpp/traits/danielaparker-jsoncons                                                  |          2 |        214 |         56 |         62 |        332 |
| backend-service/include/jwt-cpp/traits/kazuho-picojson                                                         |          2 |         91 |         52 |         26 |        169 |
| backend-service/include/jwt-cpp/traits/nlohmann-json                                                           |          2 |         94 |         53 |         27 |        174 |
| backend-service/include/jwt-cpp/traits/open-source-parsers-jsoncpp                                             |          2 |        147 |         55 |         33 |        235 |
| backend-service/include/picojson                                                                               |          1 |      1,080 |         33 |         88 |      1,201 |
| backend-service/include/traits                                                                                 |         10 |        642 |        269 |        176 |      1,087 |
| backend-service/include/traits/boost-json                                                                      |          2 |         96 |         53 |         28 |        177 |
| backend-service/include/traits/danielaparker-jsoncons                                                          |          2 |        214 |         56 |         62 |        332 |
| backend-service/include/traits/kazuho-picojson                                                                 |          2 |         91 |         52 |         26 |        169 |
| backend-service/include/traits/nlohmann-json                                                                   |          2 |         94 |         53 |         27 |        174 |
| backend-service/include/traits/open-source-parsers-jsoncpp                                                     |          2 |        147 |         55 |         33 |        235 |
| backend-service/project_document                                                                               |         33 |     20,380 |          2 |      5,486 |     25,868 |
| backend-service/src                                                                                            |         84 |     11,442 |      4,730 |      3,390 |     19,562 |
| backend-service/src (Files)                                                                                    |          1 |         94 |         36 |         28 |        158 |
| backend-service/src/api                                                                                        |         14 |      2,124 |        869 |        617 |      3,610 |
| backend-service/src/core                                                                                       |         12 |      2,386 |      1,109 |        650 |      4,145 |
| backend-service/src/database                                                                                   |         22 |      4,620 |      1,530 |      1,395 |      7,545 |
| backend-service/src/models                                                                                     |         16 |        917 |        460 |        293 |      1,670 |
| backend-service/src/security                                                                                   |          4 |        270 |        173 |         86 |        529 |
| backend-service/src/server                                                                                     |          2 |        246 |        106 |         86 |        438 |
| backend-service/src/utils                                                                                      |         13 |        785 |        447 |        235 |      1,467 |
| backend-service/test                                                                                           |         10 |      1,047 |         54 |        336 |      1,437 |
| backend-service/third_party                                                                                    |          4 |     24,866 |      3,102 |      4,289 |     32,257 |
| entry                                                                                                          |          7 |         67 |          0 |          3 |         70 |
| entry/src                                                                                                      |          7 |         67 |          0 |          3 |         70 |
| entry/src/main                                                                                                 |          7 |         67 |          0 |          3 |         70 |
| entry/src/main/resources                                                                                       |          7 |         67 |          0 |          3 |         70 |
| entry/src/main/resources/base                                                                                  |          6 |         59 |          0 |          3 |         62 |
| entry/src/main/resources/base/element                                                                          |          3 |         44 |          0 |          2 |         46 |
| entry/src/main/resources/base/media                                                                            |          1 |          7 |          0 |          0 |          7 |
| entry/src/main/resources/base/profile                                                                          |          2 |          8 |          0 |          1 |          9 |
| entry/src/main/resources/dark                                                                                  |          1 |          8 |          0 |          0 |          8 |
| entry/src/main/resources/dark/element                                                                          |          1 |          8 |          0 |          0 |          8 |
| rules                                                                                                          |          1 |         85 |          0 |         27 |        112 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                       | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/kun/projects/SharePix/.augment/rules/rules.md                                                            | Markdown     |         87 |          0 |         28 |        115 |
| /home/kun/projects/SharePix/.claude/settings.local.json                                                        | JSON         |         40 |          0 |          1 |         41 |
| /home/kun/projects/SharePix/CLAUDE.md                                                                          | Markdown     |        512 |          0 |        157 |        669 |
| /home/kun/projects/SharePix/backend-service/.augment/rules/rules.md                                            | Markdown     |         85 |          0 |         27 |        112 |
| /home/kun/projects/SharePix/backend-service/CMakeLists.txt                                                     | CMake        |        102 |          0 |         22 |        124 |
