Date : 2025-10-07 21:31:59
Directory : /home/kun/projects/Knot
Total : 178 files,  48594 codes, 6970 comments, 9361 blanks, all 64925 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |         85 |     36,633 |      6,841 |      6,638 |     50,112 |
| Markdown     |         27 |      8,023 |          0 |      2,249 |     10,272 |
| YAML         |         29 |      2,037 |         16 |        164 |      2,217 |
| Shell Script |          8 |        668 |         87 |        149 |        904 |
| JSON         |         14 |        459 |          0 |          8 |        467 |
| CMake        |          8 |        428 |          0 |         92 |        520 |
| HTML         |          1 |        180 |          0 |         28 |        208 |
| MS SQL       |          2 |         92 |         26 |         26 |        144 |
| XML          |          3 |         53 |          0 |          1 |         54 |
| PostCSS      |          1 |         21 |          0 |          6 |         27 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        178 |     48,594 |      6,970 |      9,361 |     64,925 |
| . (Files)                                                                                                                  |          2 |      1,156 |          0 |        271 |      1,427 |
| .augment                                                                                                                   |          1 |         87 |          0 |         28 |        115 |
| .augment/rules                                                                                                             |          1 |         87 |          0 |         28 |        115 |
| .claude                                                                                                                    |          1 |         21 |          0 |          1 |         22 |
| backend-service                                                                                                            |        166 |     47,178 |      6,970 |      9,031 |     63,179 |
| backend-service (Files)                                                                                                    |          3 |        676 |         14 |        147 |        837 |
| backend-service/.augment                                                                                                   |          1 |         85 |          0 |         27 |        112 |
| backend-service/.augment/rules                                                                                             |          1 |         85 |          0 |         27 |        112 |
| backend-service/config                                                                                                     |          4 |        204 |         26 |         30 |        260 |
| backend-service/docs                                                                                                       |         12 |      2,275 |         68 |        468 |      2,811 |
| backend-service/project_document                                                                                           |          9 |      4,966 |          0 |      1,332 |      6,298 |
| backend-service/src                                                                                                        |         35 |      3,521 |      1,638 |      1,096 |      6,255 |
| backend-service/src (Files)                                                                                                |          1 |         94 |         36 |         28 |        158 |
| backend-service/src/api                                                                                                    |          4 |        488 |        245 |        156 |        889 |
| backend-service/src/database                                                                                               |         10 |      1,458 |        601 |        462 |      2,521 |
| backend-service/src/models                                                                                                 |          6 |        496 |        213 |        142 |        851 |
| backend-service/src/security                                                                                               |          4 |        256 |        172 |         84 |        512 |
| backend-service/src/server                                                                                                 |          2 |        189 |         78 |         68 |        335 |
| backend-service/src/utils                                                                                                  |          8 |        540 |        293 |        156 |        989 |
| backend-service/test                                                                                                       |          1 |         49 |          7 |         15 |         71 |
| backend-service/third_party                                                                                                |        101 |     35,402 |      5,217 |      5,916 |     46,535 |
| backend-service/third_party (Files)                                                                                        |          4 |     24,866 |      3,102 |      4,289 |     32,257 |
| backend-service/third_party/jwt-cpp                                                                                        |         97 |     10,536 |      2,115 |      1,627 |     14,278 |
| backend-service/third_party/jwt-cpp (Files)                                                                                |          3 |        279 |          0 |         79 |        358 |
| backend-service/third_party/jwt-cpp/.github                                                                                |         30 |      1,303 |         14 |        150 |      1,467 |
| backend-service/third_party/jwt-cpp/.github (Files)                                                                        |          3 |         31 |          0 |         10 |         41 |
| backend-service/third_party/jwt-cpp/.github/ISSUE_TEMPLATE                                                                 |          3 |        122 |          1 |          4 |        127 |
| backend-service/third_party/jwt-cpp/.github/actions                                                                        |         15 |        382 |          8 |         25 |        415 |
| backend-service/third_party/jwt-cpp/.github/actions/badge                                                                  |          2 |         55 |          0 |          2 |         57 |
