Date : 2025-10-11 01:14:05
Directory : /home/kun/projects/Knot
Total : 210 files,  57810 codes, 8250 comments, 11723 blanks, all 77783 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| backend-service/deploy-static                                                                                              |          4 |        882 |         55 |        261 |      1,198 |
| backend-service/deploy-static (Files)                                                                                      |          3 |        727 |         55 |        194 |        976 |
| backend-service/deploy-static/build                                                                                        |          1 |        155 |          0 |         67 |        222 |
| backend-service/deploy-static/build/knot-deploy-20251010-143813                                                            |          1 |        155 |          0 |         67 |        222 |
| backend-service/deploy-static/build/knot-deploy-20251010-143813/docs                                                       |          1 |        155 |          0 |         67 |        222 |
| backend-service/deploy-static/build/knot-deploy-20251010-143813/docs/api                                                   |          1 |        155 |          0 |         67 |        222 |
| backend-service/docs                                                                                                       |          8 |      2,538 |         19 |        298 |      2,855 |
| backend-service/docs (Files)                                                                                               |          3 |        536 |         11 |        170 |        717 |
| backend-service/docs/api                                                                                                   |          5 |      2,002 |          8 |        128 |      2,138 |
| backend-service/project_document                                                                                           |         15 |      9,703 |          0 |      2,588 |     12,291 |
| backend-service/src                                                                                                        |         58 |      6,386 |      2,841 |      1,976 |     11,203 |
| backend-service/src (Files)                                                                                                |          1 |         94 |         36 |         28 |        158 |
| backend-service/src/api                                                                                                    |         12 |      1,370 |        665 |        424 |      2,459 |
| backend-service/src/database                                                                                               |         18 |      3,056 |      1,157 |        956 |      5,169 |
| backend-service/src/models                                                                                                 |         12 |        789 |        370 |        240 |      1,399 |
| backend-service/src/security                                                                                               |          4 |        256 |        172 |         84 |        512 |
| backend-service/src/server                                                                                                 |          2 |        209 |         87 |         73 |        369 |
| backend-service/src/utils                                                                                                  |          9 |        612 |        354 |        171 |      1,137 |
| backend-service/test                                                                                                       |          2 |         58 |          9 |         22 |         89 |
| backend-service/third_party                                                                                                |        101 |     35,402 |      5,217 |      5,916 |     46,535 |
| backend-service/third_party (Files)                                                                                        |          4 |     24,866 |      3,102 |      4,289 |     32,257 |
| backend-service/third_party/jwt-cpp                                                                                        |         97 |     10,536 |      2,115 |      1,627 |     14,278 |
| backend-service/third_party/jwt-cpp (Files)                                                                                |          3 |        279 |          0 |         79 |        358 |
| backend-service/third_party/jwt-cpp/.github                                                                                |         30 |      1,303 |         14 |        150 |      1,467 |
| backend-service/third_party/jwt-cpp/.github (Files)                                                                        |          3 |         31 |          0 |         10 |         41 |
| backend-service/third_party/jwt-cpp/.github/ISSUE_TEMPLATE                                                                 |          3 |        122 |          1 |          4 |        127 |
| backend-service/third_party/jwt-cpp/.github/actions                                                                        |         15 |        382 |          8 |         25 |        415 |
| backend-service/third_party/jwt-cpp/.github/actions/badge                                                                  |          2 |         55 |          0 |          2 |         57 |
| backend-service/third_party/jwt-cpp/.github/actions/badge (Files)                                                          |          1 |         31 |          0 |          1 |         32 |
| backend-service/third_party/jwt-cpp/.github/actions/badge/write                                                            |          1 |         24 |          0 |          1 |         25 |
| backend-service/third_party/jwt-cpp/.github/actions/install                                                                |         10 |        204 |          4 |         10 |        218 |
| backend-service/third_party/jwt-cpp/.github/actions/install/boost-json                                                     |          1 |         17 |          0 |          1 |         18 |
| backend-service/third_party/jwt-cpp/.github/actions/install/cmake                                                          |          1 |         36 |          3 |          1 |         40 |
| backend-service/third_party/jwt-cpp/.github/actions/install/danielaparker-jsoncons                                         |          1 |         18 |          0 |          1 |         19 |
| backend-service/third_party/jwt-cpp/.github/actions/install/gtest                                                          |          1 |         15 |          0 |          1 |         16 |
| backend-service/third_party/jwt-cpp/.github/actions/install/kazuho-picojson                                                |          1 |         17 |          0 |          1 |         18 |
| backend-service/third_party/jwt-cpp/.github/actions/install/libressl                                                       |          1 |         19 |          0 |          1 |         20 |
| backend-service/third_party/jwt-cpp/.github/actions/install/nlohmann-json                                                  |          1 |         18 |          0 |          1 |         19 |
| backend-service/third_party/jwt-cpp/.github/actions/install/open-source-parsers-jsoncpp                                    |          1 |         21 |          1 |          1 |         23 |
| backend-service/third_party/jwt-cpp/.github/actions/install/openssl                                                        |          1 |         21 |          0 |          1 |         22 |
| backend-service/third_party/jwt-cpp/.github/actions/install/wolfssl                                                        |          1 |         22 |          0 |          1 |         23 |
| backend-service/third_party/jwt-cpp/.github/actions/process-linting-results                                                |          1 |         21 |          4 |          2 |         27 |
| backend-service/third_party/jwt-cpp/.github/actions/render                                                                 |          2 |        102 |          0 |         11 |        113 |
| backend-service/third_party/jwt-cpp/.github/actions/render/defaults                                                        |          1 |         61 |          0 |          7 |         68 |
| backend-service/third_party/jwt-cpp/.github/actions/render/tests                                                           |          1 |         41 |          0 |          4 |         45 |
| backend-service/third_party/jwt-cpp/.github/workflows                                                                      |          9 |        768 |          5 |        111 |        884 |
| backend-service/third_party/jwt-cpp/cmake                                                                                  |          1 |         48 |          0 |          0 |         48 |
| backend-service/third_party/jwt-cpp/docs                                                                                   |          7 |        283 |          0 |        102 |        385 |
| backend-service/third_party/jwt-cpp/example                                                                                |         16 |        639 |         26 |        124 |        789 |
| backend-service/third_party/jwt-cpp/example (Files)                                                                        |          9 |        407 |         25 |         68 |        500 |
| backend-service/third_party/jwt-cpp/example/traits                                                                         |          7 |        232 |          1 |         56 |        289 |
| backend-service/third_party/jwt-cpp/include                                                                                |         13 |      4,279 |      2,029 |        594 |      6,902 |
| backend-service/third_party/jwt-cpp/include/jwt-cpp                                                                        |         12 |      3,199 |      1,996 |        506 |      5,701 |
| backend-service/third_party/jwt-cpp/include/jwt-cpp (Files)                                                                |          2 |      2,557 |      1,727 |        330 |      4,614 |
| backend-service/third_party/jwt-cpp/include/jwt-cpp/traits                                                                 |         10 |        642 |        269 |        176 |      1,087 |
| backend-service/third_party/jwt-cpp/include/jwt-cpp/traits/boost-json                                                      |          2 |         96 |         53 |         28 |        177 |
| backend-service/third_party/jwt-cpp/include/jwt-cpp/traits/danielaparker-jsoncons                                          |          2 |        214 |         56 |         62 |        332 |
| backend-service/third_party/jwt-cpp/include/jwt-cpp/traits/kazuho-picojson                                                 |          2 |         91 |         52 |         26 |        169 |
| backend-service/third_party/jwt-cpp/include/jwt-cpp/traits/nlohmann-json                                                   |          2 |         94 |         53 |         27 |        174 |
| backend-service/third_party/jwt-cpp/include/jwt-cpp/traits/open-source-parsers-jsoncpp                                     |          2 |        147 |         55 |         33 |        235 |
| backend-service/third_party/jwt-cpp/include/picojson                                                                       |          1 |      1,080 |         33 |         88 |      1,201 |
| backend-service/third_party/jwt-cpp/nuget                                                                                  |          2 |         37 |          0 |          1 |         38 |
| backend-service/third_party/jwt-cpp/tests                                                                                  |         25 |      3,668 |         46 |        577 |      4,291 |
| backend-service/third_party/jwt-cpp/tests (Files)                                                                          |         11 |      3,080 |         39 |        443 |      3,562 |
| backend-service/third_party/jwt-cpp/tests/cmake                                                                            |          6 |         50 |          1 |         21 |         72 |
| backend-service/third_party/jwt-cpp/tests/fuzz                                                                             |          4 |         54 |          6 |         17 |         77 |
| backend-service/third_party/jwt-cpp/tests/traits                                                                           |          4 |        484 |          0 |         96 |        580 |
| entry                                                                                                                      |          7 |         67 |          0 |          3 |         70 |
| entry/src                                                                                                                  |          7 |         67 |          0 |          3 |         70 |
| entry/src/main                                                                                                             |          7 |         67 |          0 |          3 |         70 |
| entry/src/main/resources                                                                                                   |          7 |         67 |          0 |          3 |         70 |
| entry/src/main/resources/base                                                                                              |          6 |         59 |          0 |          3 |         62 |
| entry/src/main/resources/base/element                                                                                      |          3 |         44 |          0 |          2 |         46 |
| entry/src/main/resources/base/media                                                                                        |          1 |          7 |          0 |          0 |          7 |
| entry/src/main/resources/base/profile                                                                                      |          2 |          8 |          0 |          1 |          9 |
| entry/src/main/resources/dark                                                                                              |          1 |          8 |          0 |          0 |          8 |
| entry/src/main/resources/dark/element                                                                                      |          1 |          8 |          0 |          0 |          8 |
| rules                                                                                                                      |          1 |         85 |          0 |         27 |        112 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                   | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/kun/projects/Knot/.augment/rules/rules.md                                                                            | Markdown     |         87 |          0 |         28 |        115 |
| /home/kun/projects/Knot/.claude/settings.local.json                                                                        | JSON         |         21 |          0 |          1 |         22 |
| /home/kun/projects/Knot/CLAUDE.md                                                                                          | Markdown     |        457 |          0 |        146 |        603 |
| /home/kun/projects/Knot/backend-service/.augment/rules/rules.md                                                            | Markdown     |         85 |          0 |         27 |        112 |
| /home/kun/projects/Knot/backend-service/CMakeLists.txt                                                                     | CMake        |        102 |          0 |         22 |        124 |
| /home/kun/projects/Knot/backend-service/README.md                                                                          | Markdown     |        537 |          0 |        108 |        645 |
| /home/kun/projects/Knot/backend-service/config/config.cloud.json                                                           | JSON         |         56 |          0 |          2 |         58 |
| /home/kun/projects/Knot/backend-service/config/config.example.json                                                         | JSON         |         56 |          0 |          2 |         58 |
| /home/kun/projects/Knot/backend-service/config/database.sql                                                                | MS SQL       |        134 |         30 |         30 |        194 |
| /home/kun/projects/Knot/backend-service/config/migration_add_user_profile_fields.sql                                       | MS SQL       |          5 |          5 |          5 |         15 |
| /home/kun/projects/Knot/backend-service/config/migration_to_posts.sql                                                      | MS SQL       |        160 |         53 |         50 |        263 |
| /home/kun/projects/Knot/backend-service/config/setup_remote_access.sql                                                     | MS SQL       |          5 |          7 |          7 |         19 |
| /home/kun/projects/Knot/backend-service/deploy-static/CMakeLists.txt                                                       | CMake        |        168 |          0 |         32 |        200 |
| /home/kun/projects/Knot/backend-service/deploy-static/README.md                                                            | Markdown     |        358 |          0 |        107 |        465 |
| /home/kun/projects/Knot/backend-service/deploy-static/build.sh                                                             | Shell Script |        201 |         55 |         55 |        311 |
| /home/kun/projects/Knot/backend-service/deploy-static/build/knot-deploy-20251010-143813/docs/api/README.md                 | Markdown     |        155 |          0 |         67 |        222 |
| /home/kun/projects/Knot/backend-service/docs/NETWORK-ACCESS.md                                                             | Markdown     |        226 |          0 |         73 |        299 |
| /home/kun/projects/Knot/backend-service/docs/README.md                                                                     | Markdown     |        185 |          0 |         79 |        264 |
| /home/kun/projects/Knot/backend-service/docs/api/README.md                                                                 | Markdown     |        155 |          0 |         67 |        222 |
| /home/kun/projects/Knot/backend-service/docs/api/api-docs.html                                                             | HTML         |         55 |          0 |          4 |         59 |
| /home/kun/projects/Knot/backend-service/docs/api/docker-compose-swagger.yml                                                | YAML         |         14 |          0 |          3 |         17 |
| /home/kun/projects/Knot/backend-service/docs/api/openapi.yaml                                                              | YAML         |      1,762 |          3 |         47 |      1,812 |
| /home/kun/projects/Knot/backend-service/docs/api/start-api-docs.sh                                                         | Shell Script |         16 |          5 |          7 |         28 |
| /home/kun/projects/Knot/backend-service/docs/check-network-access.sh                                                       | Shell Script |        125 |         11 |         18 |        154 |
| /home/kun/projects/Knot/backend-service/project_document/README.md                                                         | Markdown     |        447 |          0 |        147 |        594 |
| /home/kun/projects/Knot/backend-service/project_document/[000]API文档.md                                                     | Markdown     |      1,443 |          0 |        370 |      1,813 |
| /home/kun/projects/Knot/backend-service/project_document/[001]数据库设计文档.md                                                   | Markdown     |        341 |          0 |         92 |        433 |
| /home/kun/projects/Knot/backend-service/project_document/[002]项目架构文档.md                                                    | Markdown     |        415 |          0 |        108 |        523 |
| /home/kun/projects/Knot/backend-service/project_document/[003]环境安装配置教程.md                                                  | Markdown     |        277 |          0 |         70 |        347 |
| /home/kun/projects/Knot/backend-service/project_document/[100]阶段A-基础模块实现.md                                                | Markdown     |      1,226 |          0 |        279 |      1,505 |
| /home/kun/projects/Knot/backend-service/project_document/[101]阶段B-用户认证模块.md                                                | Markdown     |        689 |          0 |        155 |        844 |
| /home/kun/projects/Knot/backend-service/project_document/[102]阶段C-图片管理模块.md                                                | Markdown     |        572 |          0 |        149 |        721 |
| /home/kun/projects/Knot/backend-service/project_document/[103]阶段C-1-图片管理模块第一次测试情况.md                                       | Markdown     |        381 |          0 |        106 |        487 |
| /home/kun/projects/Knot/backend-service/project_document/[104]Apifox测试流程-BUG修复验证.md                                        | Markdown     |        388 |          0 |         96 |        484 |
| /home/kun/projects/Knot/backend-service/project_document/[105]阶段C-2-多图片帖子系统.md                                             | Markdown     |        229 |          0 |        102 |        331 |
| /home/kun/projects/Knot/backend-service/project_document/[106]用户信息管理功能完善-实施计划.md                                           | Markdown     |        426 |          0 |        118 |        544 |
| /home/kun/projects/Knot/backend-service/project_document/[107]阶段D-1-互动系统点赞收藏功能实现计划.md                                      | Markdown     |      2,104 |          0 |        549 |      2,653 |
| /home/kun/projects/Knot/backend-service/project_document/[200]数据库设计文档.md                                                   | Markdown     |        353 |          0 |        120 |        473 |
| /home/kun/projects/Knot/backend-service/project_document/[201]性能优化专题.md                                                    | Markdown     |        412 |          0 |        127 |        539 |
| /home/kun/projects/Knot/backend-service/src/api/auth_handler.cpp                                                           | C++          |        309 |         72 |         94 |        475 |
| /home/kun/projects/Knot/backend-service/src/api/auth_handler.h                                                             | C++          |         29 |         89 |         21 |        139 |
| /home/kun/projects/Knot/backend-service/src/api/base_handler.cpp                                                           | C++          |        102 |         18 |         25 |        145 |
| /home/kun/projects/Knot/backend-service/src/api/base_handler.h                                                             | C++          |         32 |         81 |         16 |        129 |
| /home/kun/projects/Knot/backend-service/src/api/favorite_handler.cpp                                                       | C++          |         69 |         22 |         20 |        111 |
| /home/kun/projects/Knot/backend-service/src/api/favorite_handler.h                                                         | C++          |         14 |         31 |          9 |         54 |
| /home/kun/projects/Knot/backend-service/src/api/image_handler.cpp                                                          | C++          |        253 |         49 |         67 |        369 |
| /home/kun/projects/Knot/backend-service/src/api/image_handler.h                                                            | C++          |         27 |         81 |         19 |        127 |
| /home/kun/projects/Knot/backend-service/src/api/like_handler.cpp                                                           | C++          |         67 |         22 |         18 |        107 |
| /home/kun/projects/Knot/backend-service/src/api/like_handler.h                                                             | C++          |         14 |         31 |          9 |         54 |
| /home/kun/projects/Knot/backend-service/src/api/post_handler.cpp                                                           | C++          |        426 |         85 |        106 |        617 |
| /home/kun/projects/Knot/backend-service/src/api/post_handler.h                                                             | C++          |         28 |         84 |         20 |        132 |
| /home/kun/projects/Knot/backend-service/src/database/connection_guard.cpp                                                  | C++          |         25 |         31 |         14 |         70 |
| /home/kun/projects/Knot/backend-service/src/database/connection_guard.h                                                    | C++          |         18 |         99 |         15 |        132 |
| /home/kun/projects/Knot/backend-service/src/database/connection_pool.cpp                                                   | C++          |        162 |         28 |         50 |        240 |
| /home/kun/projects/Knot/backend-service/src/database/connection_pool.h                                                     | C++          |         45 |         66 |         22 |        133 |
| /home/kun/projects/Knot/backend-service/src/database/favorite_repository.cpp                                               | C++          |        258 |         37 |         78 |        373 |
| /home/kun/projects/Knot/backend-service/src/database/favorite_repository.h                                                 | C++          |         17 |         57 |         11 |         85 |
| /home/kun/projects/Knot/backend-service/src/database/image_repository.cpp                                                  | C++          |        474 |         64 |        131 |        669 |
| /home/kun/projects/Knot/backend-service/src/database/image_repository.h                                                    | C++          |         20 |         62 |         15 |         97 |
| /home/kun/projects/Knot/backend-service/src/database/like_repository.cpp                                                   | C++          |        258 |         37 |         78 |        373 |
| /home/kun/projects/Knot/backend-service/src/database/like_repository.h                                                     | C++          |         17 |         57 |         11 |         85 |
| /home/kun/projects/Knot/backend-service/src/database/mysql_statement.h                                                     | C++          |         35 |         35 |         12 |         82 |
| /home/kun/projects/Knot/backend-service/src/database/post_repository.cpp                                                   | C++          |        731 |         92 |        211 |      1,034 |
| /home/kun/projects/Knot/backend-service/src/database/post_repository.h                                                     | C++          |         31 |        121 |         25 |        177 |
| /home/kun/projects/Knot/backend-service/src/database/tag_repository.cpp                                                    | C++          |        269 |         30 |         79 |        378 |
| /home/kun/projects/Knot/backend-service/src/database/tag_repository.h                                                      | C++          |         19 |         61 |         14 |         94 |
| /home/kun/projects/Knot/backend-service/src/database/transaction_guard.h                                                   | C++          |         67 |         61 |         18 |        146 |
| /home/kun/projects/Knot/backend-service/src/database/user_repository.cpp                                                   | C++          |        578 |         96 |        151 |        825 |
| /home/kun/projects/Knot/backend-service/src/database/user_repository.h                                                     | C++          |         32 |        123 |         21 |        176 |
| /home/kun/projects/Knot/backend-service/src/main.cpp                                                                       | C++          |         94 |         36 |         28 |        158 |
| /home/kun/projects/Knot/backend-service/src/models/favorite.cpp                                                            | C++          |         38 |          6 |         13 |         57 |
| /home/kun/projects/Knot/backend-service/src/models/favorite.h                                                              | C++          |         25 |         35 |         11 |         71 |
| /home/kun/projects/Knot/backend-service/src/models/image.cpp                                                               | C++          |         89 |         16 |         29 |        134 |
| /home/kun/projects/Knot/backend-service/src/models/image.h                                                                 | C++          |         53 |         40 |         13 |        106 |
| /home/kun/projects/Knot/backend-service/src/models/like.cpp                                                                | C++          |         38 |          6 |         13 |         57 |
| /home/kun/projects/Knot/backend-service/src/models/like.h                                                                  | C++          |         25 |         35 |         11 |         71 |
| /home/kun/projects/Knot/backend-service/src/models/post.cpp                                                                | C++          |        140 |         24 |         37 |        201 |
| /home/kun/projects/Knot/backend-service/src/models/post.h                                                                  | C++          |         66 |         68 |         20 |        154 |
| /home/kun/projects/Knot/backend-service/src/models/tag.cpp                                                                 | C++          |         40 |         12 |         17 |         69 |
| /home/kun/projects/Knot/backend-service/src/models/tag.h                                                                   | C++          |         27 |         38 |         14 |         79 |
| /home/kun/projects/Knot/backend-service/src/models/user.cpp                                                                | C++          |        169 |         22 |         43 |        234 |
| /home/kun/projects/Knot/backend-service/src/models/user.h                                                                  | C++          |         79 |         68 |         19 |        166 |
| /home/kun/projects/Knot/backend-service/src/security/jwt_manager.cpp                                                       | C++          |        104 |         24 |         28 |        156 |
| /home/kun/projects/Knot/backend-service/src/security/jwt_manager.h                                                         | C++          |         18 |         64 |         12 |         94 |
| /home/kun/projects/Knot/backend-service/src/security/password_hasher.cpp                                                   | C++          |        118 |         28 |         34 |        180 |
| /home/kun/projects/Knot/backend-service/src/security/password_hasher.h                                                     | C++          |         16 |         56 |         10 |         82 |
| /home/kun/projects/Knot/backend-service/src/server/http_server.cpp                                                         | C++          |        173 |         38 |         56 |        267 |
| /home/kun/projects/Knot/backend-service/src/server/http_server.h                                                           | C++          |         36 |         49 |         17 |        102 |
| /home/kun/projects/Knot/backend-service/src/utils/config_manager.cpp                                                       | C++          |         83 |         13 |         18 |        114 |
| /home/kun/projects/Knot/backend-service/src/utils/config_manager.h                                                         | C++          |         21 |         39 |         12 |         72 |
| /home/kun/projects/Knot/backend-service/src/utils/id_generator.cpp                                                         | C++          |         58 |         22 |         24 |        104 |
| /home/kun/projects/Knot/backend-service/src/utils/id_generator.h                                                           | C++          |         14 |         38 |          8 |         60 |
| /home/kun/projects/Knot/backend-service/src/utils/image_processor.cpp                                                      | C++          |        130 |         34 |         38 |        202 |
| /home/kun/projects/Knot/backend-service/src/utils/image_processor.h                                                        | C++          |         33 |         58 |         13 |        104 |
| /home/kun/projects/Knot/backend-service/src/utils/logger.cpp                                                               | C++          |        167 |         28 |         27 |        222 |
| /home/kun/projects/Knot/backend-service/src/utils/logger.h                                                                 | C++          |         34 |         61 |         16 |        111 |
| /home/kun/projects/Knot/backend-service/src/utils/pagination_helper.h                                                      | C++          |         72 |         61 |         15 |        148 |
| /home/kun/projects/Knot/backend-service/start-server.sh                                                                    | Shell Script |         58 |         14 |         16 |         88 |
| /home/kun/projects/Knot/backend-service/test/test_concurrent.sh                                                            | Shell Script |         49 |          7 |         15 |         71 |
| /home/kun/projects/Knot/backend-service/test/test_delete.py                                                                | Python       |          9 |          2 |          7 |         18 |
| /home/kun/projects/Knot/backend-service/third_party/httplib.h                                                              | C++          |      9,545 |        501 |      1,866 |     11,912 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/FUNDING.yml                                            | YAML         |          2 |          0 |          1 |          3 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/ISSUE_TEMPLATE/bug-report.yml                          | YAML         |         82 |          1 |          2 |         85 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/ISSUE_TEMPLATE/feature-request.yml                     | YAML         |         20 |          0 |          1 |         21 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/ISSUE_TEMPLATE/support-question.yml                    | YAML         |         20 |          0 |          1 |         21 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/badge/action.yml                               | YAML         |         31 |          0 |          1 |         32 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/badge/write/action.yml                         | YAML         |         24 |          0 |          1 |         25 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/install/boost-json/action.yml                  | YAML         |         17 |          0 |          1 |         18 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/install/cmake/action.yml                       | YAML         |         36 |          3 |          1 |         40 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/install/danielaparker-jsoncons/action.yml      | YAML         |         18 |          0 |          1 |         19 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/install/gtest/action.yml                       | YAML         |         15 |          0 |          1 |         16 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/install/kazuho-picojson/action.yml             | YAML         |         17 |          0 |          1 |         18 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/install/libressl/action.yml                    | YAML         |         19 |          0 |          1 |         20 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/install/nlohmann-json/action.yml               | YAML         |         18 |          0 |          1 |         19 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/install/open-source-parsers-jsoncpp/action.yml | YAML         |         21 |          1 |          1 |         23 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/install/openssl/action.yml                     | YAML         |         21 |          0 |          1 |         22 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/install/wolfssl/action.yml                     | YAML         |         22 |          0 |          1 |         23 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/process-linting-results/action.yml             | YAML         |         21 |          4 |          2 |         27 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/render/defaults/action.yml                     | YAML         |         61 |          0 |          7 |         68 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/actions/render/tests/action.yml                        | YAML         |         41 |          0 |          4 |         45 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/logo.svg                                               | XML          |         16 |          0 |          0 |         16 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/security.md                                            | Markdown     |         13 |          0 |          9 |         22 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/workflows/cmake.yml                                    | YAML         |        235 |          0 |         41 |        276 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/workflows/cross-platform.yml                           | YAML         |         27 |          0 |          7 |         34 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/workflows/documentation.yml                            | YAML         |         23 |          0 |          3 |         26 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/workflows/jwt.yml                                      | YAML         |         82 |          0 |         14 |         96 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/workflows/lint.yml                                     | YAML         |        117 |          2 |          8 |        127 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/workflows/release.yml                                  | YAML         |         35 |          2 |          8 |         45 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/workflows/ssl.yml                                      | YAML         |        101 |          0 |         13 |        114 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/workflows/targets.yml                                  | YAML         |         73 |          0 |          7 |         80 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/.github/workflows/traits.yml                                   | YAML         |         75 |          1 |         10 |         86 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/CMakeLists.txt                                                 | CMake        |        147 |          0 |         28 |        175 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/CMakePresets.json                                              | JSON         |         33 |          0 |          0 |         33 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/README.md                                                      | Markdown     |         99 |          0 |         51 |        150 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/cmake/CMakePresets.json                                        | JSON         |         48 |          0 |          0 |         48 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/docs/CMakeLists.txt                                            | CMake        |         21 |          0 |          3 |         24 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/docs/faqs.md                                                   | Markdown     |         48 |          0 |         27 |         75 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/docs/install.md                                                | Markdown     |         48 |          0 |         25 |         73 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/docs/overrides.css                                             | PostCSS      |         21 |          0 |          6 |         27 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/docs/signing.md                                                | Markdown     |         27 |          0 |          7 |         34 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/docs/ssl.md                                                    | Markdown     |         32 |          0 |         12 |         44 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/docs/traits.md                                                 | Markdown     |         86 |          0 |         22 |        108 |
| /home/kun/projects/Knot/backend-service/third_party/jwt-cpp/example/CMakeLists.txt                                         | CMake        |         28 |          0 |         11 |         39 |
